0,1,2,3,4,5,6,7,8,9,10
nuts/prunes,vinegar,,,,,,,,,
kitchen towels,margarine,,,,,,,,,
long life bakery product,whipped/sour cream,bottled beer,,,,,,,,
cat food,soda,,,,,,,,,
liquor,whole milk,,,,,,,,,
berries,newspapers,frozen fish,,,,,,,,
butter,sliced cheese,,,,,,,,,
whipped/sour cream,roll products,,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
bottled water,dessert,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
sausage,whole milk,yogurt,,,,,,,,
ham,whipped/sour cream,newspapers,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
ice cream,pastry,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
canned beer,whole milk,onions,coffee,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
tropical fruit,curd,brown bread,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
beef,bottled water,,,,,,,,,
sausage,soda,,,,,,,,,
yogurt,berries,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
processed cheese,yogurt,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
sausage,newspapers,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
pork,tropical fruit,,,,,,,,,
turkey,UHT-milk,,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
turkey,domestic eggs,,,,,,,,,
sausage,specialty bar,,,,,,,,,
cream cheese,domestic eggs,,,,,,,,,
meat,bottled water,abrasive cleaner,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
soda,beef,other vegetables,soda,flour,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
yogurt,beef,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
pork,curd,,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
root vegetables,semi-finished bread,,,,,,,,,
frozen meals,napkins,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
whole milk,canned beer,,,,,,,,,
root vegetables,herbs,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
tropical fruit,soda,,,,,,,,,
photo/film,cream cheese,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
beef,house keeping products,,,,,,,,,
zwieback,UHT-milk,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
tropical fruit,whole milk,,,,,,,,,
onions,bottled beer,,,,,,,,,
sausage,dessert,,,,,,,,,
ice cream,margarine,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
UHT-milk,pip fruit,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
pip fruit,pastry,,,,,,,,,
citrus fruit,pork,other vegetables,yogurt,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
whole milk,newspapers,,,,,,,,,
coffee,soda,,,,,,,,,
ice cream,canned beer,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
popcorn,long life bakery product,,,,,,,,,
other vegetables,margarine,,,,,,,,,
berries,UHT-milk,cream cheese,,,,,,,,
ham,yogurt,,,,,,,,,
pork,pastry,,,,,,,,,
whole milk,cream cheese,,,,,,,,,
soda,roll products,,,,,,,,,
candy,canned fish,,,,,,,,,
butter,margarine,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
other vegetables,soda,yogurt,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
UHT-milk,fish,,,,,,,,,
chicken,onions,,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
sugar,shopping bags,,,,,,,,,
sausage,root vegetables,,,,,,,,,
sausage,chocolate,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
onions,waffles,bottled beer,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
frankfurter,sausage,,,,,,,,,
root vegetables,coffee,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
canned beer,hygiene articles,pork,soft cheese,bottled beer,rolls/buns,chocolate marshmallow,,,,
whole milk,butter,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
frozen meals,other vegetables,specialty chocolate,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
sugar,spread cheese,,,,,,,,,
chicken,brown bread,,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
candy,frozen vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
beverages,shopping bags,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
bottled beer,ice cream,,,,,,,,,
cream cheese,soda,,,,,,,,,
hard cheese,specialty bar,,,,,,,,,
citrus fruit,whole milk,rolls/buns,pastry,whipped/sour cream,,,,,,
frankfurter,dishes,rolls/buns,,,,,,,,
berries,cream cheese,,,,,,,,,
sausage,roll products,,,,,,,,,
bottled water,canned beer,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
rolls/buns,newspapers,,,,,,,,,
rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
flour,baking powder,,,,,,,,,
ham,cream cheese,,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
ice cream,herbs,,,,,,,,,
specialty bar,dog food,cream cheese,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
meat,domestic eggs,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
whole milk,pastry,,,,,,,,,
candy,margarine,butter,,,,,,,,
pastry,pasta,,,,,,,,,
pip fruit,ice cream,,,,,,,,,
whole milk,canned fish,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
chocolate marshmallow,newspapers,,,,,,,,,
white wine,cat food,,,,,,,,,
sliced cheese,domestic eggs,,,,,,,,,
hamburger meat,soda,,,,,,,,,
berries,soda,fruit/vegetable juice,,,,,,,,
